Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
162,136,53,98,D1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"58,800",,"2,421.62","4,704.00","5,312,640",,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179656
163,137,55,137,,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"113,600",,"2,399.59","4,180.48","8,256,000",,,,,,Cluster,Xeon Gold 5218 16C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,16,Xeon Gold,ThinkSystem SR590,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,329",179816
164,138,46,29,Nuri,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect",Korea Meteorological Administration,Cray/HPE,South Korea,2015,Research,"69,600",,"2,395.68","2,895.36","6,661,248",,,"1,359.38",Submitted,1.76,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,"2,600",Cray Linux Environment,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,Asia,"48,217",178611
165,139,46,30,Miri,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect",Korea Meteorological Administration,Cray/HPE,South Korea,2015,Research,"69,600",,"2,395.68","2,895.36","6,661,248",,,"1,359.38",Submitted,1.76,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,"2,600",Cray Linux Environment,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,Asia,"48,217",178612
166,140,53,101,E1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"58,000",,"2,392.38","4,640.00","5,276,544",,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179655
167,141,55,141,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"58,560",,"2,379.87","4,684.80","4,839,936",,,,,,Cluster,Xeon Gold 6233 24C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179814
168,142,54,117,Aitken,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR/HDR",NASA/Ames Research Center/NAS,HPE,United States,2019,Research,"46,080",,"2,375.54","3,686.40","4,872,960",,45.47,578.10,Submitted,4.11,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",SLES12,Linux,None,20,Xeon Gold 62xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR/HDR,North America,"50,440",179802
169,143,55,143,,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"112,000",,"2,374.04","4,121.60","8,197,632",,,,,,Cluster,Xeon Gold 5218 16C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,16,Xeon Gold,ThinkSystem SR590,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,329",179817
170,,56,170,NVIDIA DGX SuperPOD,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",NVIDIA Corporation,Nvidia,United States,2020,Vendor,"19,840","17,280","2,356.00","2,812.80","1,262,888",,63.00,89.94,Submitted,26.20,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Ubuntu 20.04.1 LTS,Linux,NVIDIA A100,64,AMD Rome,NVIDIA DGX A100,NVIDIA DGX,Infiniband,Mellanox HDR Infiniband,North America,"48,448",179910
171,,56,171,ZZ1,"ThinkSystem HR630X, Xeon Silver 4110 8C 2.1GHz, 10G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"153,600",,"2,354.91","10,321.92","11,085,312",,,,,,Cluster,Xeon Silver 4110 8C 2.1GHz,Intel Skylake,"2,100",Linux,Linux,None,8,Xeon Silver,ThinkSystem HR630X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,854",179886
172,144,55,144,,"Inspur NF5468M5, Xeon 8260M 24C 2.4GHz, NVIDIA Tesla V100, 100G Ethernet",Internet Company,Inspur,China,2020,Industry,"48,160","44,800","2,336.00","4,368.00","1,387,000",,,,,,Cluster,Xeon Platinum 8260M 24C 2.4GHz,Intel Cascade lake,"2,400",Linux,Linux,NVIDIA Tesla V100,24,Xeon Platinum 82xx (Cascade Lake),Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,100G Ethernet,Asia,"50,743",179821
173,145,55,145,,"Inspur NF5468M5, Xeon 8260M 24C 2.4GHz, NVIDIA Tesla V100, 100G Ethernet",Internet Company,Inspur,China,2020,Industry,"48,160","44,800","2,336.00","4,368.00","1,387,000",,,,,,Cluster,Xeon Platinum 8260M 24C 2.4GHz,Intel Cascade lake,"2,400",Linux,Linux,NVIDIA Tesla V100,24,Xeon Platinum 82xx (Cascade Lake),Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,100G Ethernet,Asia,"50,743",179822
174,146,55,146,,"Inspur NF5468M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet",Internet Service P,Inspur,China,2020,Industry,"53,760","51,200","2,329.00","4,480.00","1,483,000",,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",Linux,Linux,NVIDIA Tesla V100,16,Xeon Gold,Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,759",179832
175,147,55,147,,"Inspur NF5468M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet",Internet Service P,Inspur,China,2020,Industry,"53,760","51,200","2,329.00","4,480.00","1,483,000",,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",Linux,Linux,NVIDIA Tesla V100,16,Xeon Gold,Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,759",179834
176,148,55,148,,"Inspur NF5468M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet",Internet Service P,Inspur,China,2020,Industry,"53,760","51,200","2,329.00","4,480.00","1,483,000",,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",Linux,Linux,NVIDIA Tesla V100,16,Xeon Gold,Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,759",179838
177,149,51,78,Makman-3,"PowerEdge R440/C6320p, Intel Xeon Phi 7250/Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path",Saudi Aramco,Dell EMC,Saudi Arabia,2018,Industry,"53,300",,"2,322.46","3,581.76","4,171,000",,,608.00,Submitted,3.82,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",RHEL 7.4,Linux,None,16,Xeon Gold,PowerEdge R440,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,Asia,"48,751",179437
178,150,53,104,F1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"56,000",,"2,317.95","4,480.00","5,184,768",,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179654
179,,56,179,,"Inspur TS10000 HPC Server, Xeon Gold 6226R 16C 2.9GHz, NVIDIA Tesla V100, 25G Ethernet",Energy Company B,Inspur,China,2020,Industry,"49,920","41,600","2,316.00","4,412.10","1,337,000","668,500",,,,,Cluster,Xeon Gold 6226R 16C 2.9GHz,Intel Cascade lake,"2,900",Linux,Linux,NVIDIA Tesla V100,16,Xeon Gold 62xx (Cascade Lake),Inspur TS10000 HPC Server,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,842",179869
180,151,55,151,,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"108,800",,"2,314.21","4,003.84","8,079,744",,,,,,Cluster,Xeon Gold 5218 16C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,16,Xeon Gold,ThinkSystem SR590,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,329",179818
181,,56,181,Taiwania 3,"QCT QuantaPlex T42D-2U/4N, Xeon Platinum 8280 28C 2.7GHz, InfiniBand HDR 100",National Center for High Performance Computing,Quanta Computer / Taiwan Fixed Network / ASUS Cloud,Taiwan,2020,Research,"50,400",,"2,297.56","4,354.56","4,354,560","725,760",,563.85,Submitted,4.07,Cluster,Xeon Platinum 8280 28C 2.7GHz,Intel Cascade lake,"2,700",CentOS,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),QCT QuantaPlex T42D-2U/4N,QCT QuantaPlex,Infiniband,InfiniBand HDR 100,Asia,"48,468",179902
182,152,54,120,Longhorn,"IBM Power System AC922, IBM POWER9 20C 3.6GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",Texas Advanced Computing Center/Univ. of Texas,IBM,United States,2019,Academic,"37,440","33,280","2,288.00","2,867.41","1,677,312",,,,,,Cluster,IBM POWER9 20C 3.6GHz,Power,"3,600",Redhat Linux,Linux,NVIDIA Tesla V100 SXM2,20,IBM POWER9,IBM Power System AC922,IBM Power Systems,Infiniband,Infiniband EDR,North America,"48,958",179714
183,153,51,79,,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet",Internet Service P,Inspur,China,2017,Industry,"55,104","52,480","2,287.00","4,890.00","1,049,000",,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,NVIDIA Tesla V100,16,Xeon Gold,Inspur TS10000,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,759",179386
184,154,55,154,,"Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet",Telecom Operator (C),Inspur,China,2020,Others,"47,320","44,800","2,282.00","4,368.00","1,387,000",,,,,,Cluster,Xeon Gold 6240 18C 2.6GHz,Intel Cascade lake,"2,600",Linux,Linux,NVIDIA Tesla V100,18,Xeon Gold 62xx (Cascade Lake),Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,783",179833
185,155,55,155,,"Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet",Telecom Operator (C),Inspur,China,2020,Others,"47,320","44,800","2,282.00","4,368.00","1,387,000",,,,,,Cluster,Xeon Gold 6240 18C 2.6GHz,Intel Cascade lake,"2,600",Linux,Linux,NVIDIA Tesla V100,18,Xeon Gold 62xx (Cascade Lake),Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,783",179835
186,156,55,156,,"Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet",Telecom Operator (C),Inspur,China,2020,Others,"47,320","44,800","2,282.00","4,368.00","1,387,000",,,,,,Cluster,Xeon Gold 6240 18C 2.6GHz,Intel Cascade lake,"2,600",Linux,Linux,NVIDIA Tesla V100,18,Xeon Gold 62xx (Cascade Lake),Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,783",179836
187,157,55,157,,"Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet",Telecom Operator (C),Inspur,China,2020,Others,"47,320","44,800","2,282.00","4,368.00","1,387,000",,,,,,Cluster,Xeon Gold 6240 18C 2.6GHz,Intel Cascade lake,"2,600",Linux,Linux,NVIDIA Tesla V100,18,Xeon Gold 62xx (Cascade Lake),Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,783",179837
188,158,53,106,Béluga,"Dell EMC PowerEdge R640, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, Infiniband EDR",Calcul Québec/Compute Canada,Dell EMC,Canada,2019,Academic,"72,480","55,040","2,278.00","7,494.78","2,959,104","790,272",,240.00,Submitted,9.49,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",CentOS,Linux,NVIDIA Tesla V100,20,Xeon Gold,PowerEdge R640,Dell PowerEdge Cluster,Infiniband,Infiniband EDR,North America,"50,800",179605
189,,56,189,,"Inspur TS10000 HPC Server, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, InfiniBand HDR 100",Research Laboratory H,Inspur,China,2020,Research,"40,560","38,400","2,276.00","3,923.71","1,284,000",,,,,,Cluster,Xeon Gold 6240 18C 2.6GHz,Intel Cascade lake,"2,600",Linux,Linux,NVIDIA Tesla V100,18,Xeon Gold 62xx (Cascade Lake),Inspur TS10000 HPC Server,Inspur Cluster,Infiniband,InfiniBand HDR 100,Asia,"50,843",179870
190,,56,190,,"Inspur TS10000 HPC Server, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100, Infiniband HDR",AI company J,Inspur,China,2020,Others,"40,800","38,400","2,275.00","3,905.28","1,284,000",,,,,,Cluster,Xeon Gold 6230 20C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,NVIDIA Tesla V100,20,Xeon Gold 62xx (Cascade Lake),Inspur TS10000 HPC Server,Inspur Cluster,Infiniband,Infiniband HDR,Asia,"50,844",179868
191,159,52,87,Cumulus,"PowerEdge C6420/C6320, Intel Xeon Phi 7210/Xeon Gold 6142F 16C 2.6GHz, Intel Omni-Path",University of Cambridge,Dell EMC,United Kingdom,2018,Academic,"50,176",,"2,271.38","2,688.00","3,928,320",,,530.00,Submitted,4.29,Cluster,Xeon Gold 6142F 16C 2.6GHz,Intel Skylake,"2,600",Scientific Linux,Linux,None,16,Xeon Gold,PowerEdge C6420/C6320,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,Europe,"49,143",179577
192,160,45,28,Makman-2,"Dell PowerEdge R630, Xeon E5-2680v3 12C 2.5GHz, Infiniband QDR",Saudi Aramco,Dell EMC,Saudi Arabia,2015,Industry,"76,032",,"2,249.68","3,041.28","4,460,544",,,"1,134.00",Submitted,1.98,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,"2,500",Redhat Enterprise Linux 6.5,Linux,None,12,Intel Xeon E5 (Haswell),Dell PowerEdge R630,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,Asia,"48,751",178606
193,161,53,109,G1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"54,000",,"2,242.94","4,320.00","5,091,072",,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179653
194,162,53,110,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,"67,200",,"2,192.00","4,515.84","5,097,000",,,740.00,Submitted,2.96,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,743",179672
195,,56,195,,"Inspur NF5468M5, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet",Bank G,Inspur,China,2020,Others,"50,400","44,800","2,189.00","4,816.00","1,387,000",,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",Linux,Linux,NVIDIA Tesla V100,20,Xeon Gold 62xx (Cascade Lake),Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,845",179875
196,163,43,81,Prolix2,"bullx DLC 720, Xeon E5-2698v4 20C 2.2GHz, Infiniband FDR",Meteo France,Atos,France,2014,Research,"72,000",,"2,167.99","2,534.40","3,511,032",,35.35,830.40,Submitted,2.61,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,"2,200",bullx SCS,Linux,None,20,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,"48,356",178429
197,164,53,112,H1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"52,000",,"2,166.52","4,160.00","4,995,840",,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179652
198,165,54,129,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR",Internet Service (S),Inspur,China,2019,Industry,"49,800","48,000","2,164.00","4,423.68","1,436,000",,,,,,Cluster,Xeon Gold 6146 12C 3.2GHz,Intel Skylake,"3,200",Linux,Linux,NVIDIA Tesla V100,12,Xeon Gold,Inspur NF5468M5,Inspur Cluster,Infiniband,Infiniband EDR,Asia,"50,817",179766
199,166,54,130,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR",Internet Service (S),Inspur,China,2019,Industry,"49,800","48,000","2,164.00","4,423.68","1,436,000",,,,,,Cluster,Xeon Gold 6146 12C 3.2GHz,Intel Skylake,"3,200",Linux,Linux,NVIDIA Tesla V100,12,Xeon Gold,Inspur NF5468M5,Inspur Cluster,Infiniband,Infiniband EDR,Asia,"50,817",179767
200,167,54,131,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR",Internet Service (S),Inspur,China,2019,Industry,"49,800","48,000","2,164.00","4,423.68","1,436,000",,,,,,Cluster,Xeon Gold 6146 12C 3.2GHz,Intel Skylake,"3,200",Linux,Linux,NVIDIA Tesla V100,12,Xeon Gold,Inspur NF5468M5,Inspur Cluster,Infiniband,Infiniband EDR,Asia,"50,817",179768
201,168,48,52,Beaufix2,"bullx DLC 720, Xeon E5-2698v4 20C 2.2GHz, Infiniband FDR",Meteo France,Atos,France,2016,Research,"73,440",,"2,157.41","2,585.09","3,529,680",,35.35,830.20,Submitted,2.60,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,"2,200",bullx SCS,Linux,None,20,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,"48,356",178962
202,169,55,169,,"ThinkSystem HR630X, Xeon Silver 4110 8C 2.1GHz, 10G Ethernet",Service Provider T,Lenovo,China,2020,Industry,"128,000",,"2,155.99","4,300.80","7,155,456",,,,,,Cluster,Xeon Silver 4110 8C 2.1GHz,Intel Skylake,"2,100",Linux,Linux,None,8,Xeon Silver,ThinkSystem HR630X,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,329",179815
203,170,53,114,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2019,Industry,"121,920",,"2,152.00","8,973.31","6,472,000",,,"1,625.00",Submitted,1.32,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,743",179678
204,171,55,171,Betty,"Cray CS500, AMD EPYC 7542 32C 2.9GHz, InfiniBand HDR100",US Army Research Laboratory (ARL),HPE,United States,2020,Research,"94,976",,"2,133.00","4,406.89","4,081,920",,,,,,Cluster,AMD EPYC 7542 32C 2.9GHz,AMD Zen-2 (Rome),"2,900",RHEL 7.7,Linux,None,32,AMD Rome,Cray CS500,Cray CS,Infiniband,InfiniBand HDR 100,North America,"49,039",179844
205,172,54,134,,"ThinkSystem SR650, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",DJIT Company,Lenovo,China,2019,Industry,"96,640",,"2,129.54","7,112.70","7,614,720",,,,,,Cluster,Xeon Gold 5218 16C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,16,Xeon Gold,ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,"50,787",179755
206,173,55,173,,"INSPUR NF5288M5, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 25G Ethernet",Bank (Z),Inspur,China,2020,Industry,"44,200","41,600","2,121.00","4,056.00","1,284,000",,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,NVIDIA Tesla V100,20,Xeon Gold,INSPUR NF5288M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,836",179840
207,174,55,174,,"Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet",Service Provider T,Inspur,China,2020,Industry,"44,720","41,600","2,121.00","4,056.00","1,284,000",,,,,,Cluster,Xeon Platinum 8163 24C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,NVIDIA Tesla V100,24,Xeon Platinum,Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179823
208,175,55,175,,"Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet",Service Provider T,Inspur,China,2020,Industry,"44,720","41,600","2,121.00","4,056.00","1,284,000",,,,,,Cluster,Xeon Platinum 8163 24C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,NVIDIA Tesla V100,24,Xeon Platinum,Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179824
209,176,55,176,,"Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet",Service Provider T,Inspur,China,2020,Industry,"44,720","41,600","2,121.00","4,056.00","1,284,000",,,,,,Cluster,Xeon Platinum 8163 24C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,NVIDIA Tesla V100,24,Xeon Platinum,Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179825
210,177,54,135,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, Infiniband EDR",Xinjiang SC Center,Sugon,China,2019,Government,"44,720","41,600","2,115.00","3,903.43","507,000",,,265.00,Submitted,7.98,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,"2,300",CentOS,Linux,NVIDIA Tesla V100,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Infiniband,Infiniband EDR,Asia,"50,790",179729
211,178,53,115,,"INSPUR NF5288M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 100G Ethernet",Internet Company,Inspur,China,2018,Industry,"53,760","51,200","2,109.00","4,652.03","1,483,000",,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,NVIDIA Tesla V100,16,Xeon Gold,INSPUR NF5288M5,Inspur Cluster,Gigabit Ethernet,100G Ethernet,Asia,"50,743",179610
212,179,53,133,MagicCube3,"Sugon TC6000, Xeon Gold 6142 16C 2.6GHz, Intel Omni-Path, NVIDIA Tesla V100",Shanghai Supercomputer Center,Sugon,China,2019,Research,"40,960","5,120","2,109.00","3,434.09","5,153,000",,,430.00,Submitted,4.90,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,"2,600",CentOS,Linux,NVIDIA Tesla V100,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Omnipath,Intel Omni-Path,Asia,"49,697",179695
213,180,53,116,I1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2019,Industry,"50,000",,"2,094.00","4,000.00","4,899,072",,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,None,20,Xeon Gold,ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179651
214,181,51,83,ATERUI II,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect",National Astronomical Observatory of Japan,Cray/HPE,Japan,2018,Academic,"40,000",,"2,089.98","3,072.00","4,915,200",,36.64,495.86,Submitted,4.21,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Cray Linux Environment,Linux,None,20,Xeon Gold,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect,Asia,"50,097",179419
215,271,55,271,Greene,"ThinkSystem SR650, Xeon Platinum 8268 24C 2.9GHz, NVIDIA Quadro RTX8000/V100, Infiniband HDR",New York University,Lenovo,United States,2020,Academic,"166,304","63,104","2,088.83","2,846.40","3,846,912",,,511.54,Submitted,4.08,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,"2,900",Linux,Linux,NVIDIA Tesla V100,24,Xeon Platinum 82xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Infiniband,Infiniband HDR,North America,"49,783",179851
216,182,54,140,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet",Internet Service U,Sugon,China,2019,Others,"44,032","40,960","2,087.00","3,843.38","503,000",,,260.00,Submitted,8.03,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,"2,300",CentOS,Linux,NVIDIA Tesla V100,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,777",179730
217,183,54,141,,"Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet",Service Provider T,Inspur,China,2019,Industry,"48,160","44,800","2,078.00","4,225.20","1,387,000",,,,,,Cluster,Xeon Platinum 8163 24C 2.5GHz,Intel Skylake,"2,500",Linux,Linux,NVIDIA Tesla V100,24,Xeon Platinum,Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,329",179759
